pai_et_municipios,matriculados,registrados,presentes,publicados
AMAZONAS,873,892,843,843
OFICIALES URBANOS DE AMAZONAS,611,601,576,576
OFICIALES RURALES DE AMAZONAS,222,249,225,225
PRIVADOS DE AMAZONAS,40,42,42,42
GC 1 DE AMAZONAS,69,100,94,94
GC 2 DE AMAZONAS,764,743,700,700
GC 3 DE AMAZONAS,40,49,49,49
ANTIOQUIA,64041,65583,63960,63960
OFICIALES URBANOS DE ANTIOQUIA,43153,44022,42843,42843
OFICIALES RURALES DE ANTIOQUIA,10997,11258,11006,11006
PRIVADOS DE ANTIOQUIA,9891,10303,10111,10111
GC 1 DE ANTIOQUIA,2293,2364,2305,2305
GC 2 DE ANTIOQUIA,32000,33584,32579,32579
GC 3 DE ANTIOQUIA,28461,28407,27880,27880
GC 4 DE ANTIOQUIA,1197,1158,1154,1154
ARAUCA,2560,3113,3048,3048
OFICIALES URBANOS DE ARAUCA,1825,2009,1979,1979
OFICIALES RURALES DE ARAUCA,564,766,753,753
PRIVADOS DE ARAUCA,171,338,316,316
GC 1 DE ARAUCA,186,209,204,204
GC 2 DE ARAUCA,2137,2591,2539,2539
GC 3 DE ARAUCA,237,313,305,305
ATLANTICO,27704,29770,29468,29468
OFICIALES URBANOS DE ATLANTICO,20377,20264,20080,20080
OFICIALES RURALES DE ATLANTICO,1158,1220,1213,1213
PRIVADOS DE ATLANTICO,6169,8286,8175,8175
GC 1 DE ATLANTICO,139,166,166,166
GC 2 DE ATLANTICO,18224,19820,19579,19579
GC 3 DE ATLANTICO,9154,9599,9541,9541
GC 4 DE ATLANTICO,184,182,182,182
BOGOTÁ,72077,74546,73086,73086
OFICIALES URBANOS DE BOGOTÁ,44326,44652,43778,43778
OFICIALES RURALES DE BOGOTÁ,419,414,410,410
PRIVADOS DE BOGOTÁ,27332,29480,28898,28898
GC 1 DE BOGOTÁ,12,10,10,10
GC 2 DE BOGOTÁ,14608,16101,15467,15467
GC 3 DE BOGOTÁ,53653,54782,53969,53969
BOLIVAR,26071,25872,25426,25426
OFICIALES URBANOS DE BOLIVAR,16156,15952,15633,15633
OFICIALES RURALES DE BOLIVAR,5366,5035,4955,4955
PRIVADOS DE BOLIVAR,4549,4885,4838,4838
GC 1 DE BOLIVAR,1230,1139,1115,1115
GC 2 DE BOLIVAR,20375,20109,19723,19723
GC 3 DE BOLIVAR,4357,4521,4487,4487
GC 4 DE BOLIVAR,109,103,101,101
BOYACA,12419,16322,16093,16093
OFICIALES URBANOS DE BOYACA,8233,10876,10738,10738
OFICIALES RURALES DE BOYACA,1703,2666,2624,2624
PRIVADOS DE BOYACA,2483,2780,2731,2731
GC 1 DE BOYACA,315,584,572,572
GC 2 DE BOYACA,6697,10251,10085,10085
GC 3 DE BOYACA,5281,5304,5254,5254
GC 4 DE BOYACA,126,182,182,182
CALDAS,9277,9330,9143,9143
OFICIALES URBANOS DE CALDAS,6274,6208,6081,6081
OFICIALES RURALES DE CALDAS,2073,2170,2115,2115
PRIVADOS DE CALDAS,930,952,947,947
GC 1 DE CALDAS,389,380,369,369
GC 2 DE CALDAS,5790,5849,5708,5708
GC 3 DE CALDAS,3021,3024,2989,2989
GC 4 DE CALDAS,77,77,77,77
CAQUETA,3673,3686,3591,3591
OFICIALES URBANOS DE CAQUETA,2802,2756,2696,2696
OFICIALES RURALES DE CAQUETA,637,626,600,600
PRIVADOS DE CAQUETA,234,304,295,295
GC 1 DE CAQUETA,323,312,305,305
GC 2 DE CAQUETA,2843,2877,2795,2795
GC 3 DE CAQUETA,503,493,487,487
GC 4 DE CAQUETA,4,4,4,4
CASANARE,5041,5291,5205,5205
OFICIALES URBANOS DE CASANARE,4017,4063,4007,4007
OFICIALES RURALES DE CASANARE,693,821,803,803
PRIVADOS DE CASANARE,331,407,395,395
GC 1 DE CASANARE,331,371,364,364
GC 2 DE CASANARE,4001,4210,4138,4138
GC 3 DE CASANARE,694,695,688,688
GC 4 DE CASANARE,15,15,15,15
CAUCA,14325,14299,13955,13955
OFICIALES URBANOS DE CAUCA,7098,6887,6786,6786
OFICIALES RURALES DE CAUCA,6421,6085,5937,5937
PRIVADOS DE CAUCA,806,1327,1232,1232
GC 1 DE CAUCA,2995,2773,2682,2682
GC 2 DE CAUCA,9910,10237,9995,9995
GC 3 DE CAUCA,1276,1276,1266,1266
GC 4 DE CAUCA,135,3,3,3
CESAR,12925,13893,13709,13709
OFICIALES URBANOS DE CESAR,8634,9060,8986,8986
OFICIALES RURALES DE CESAR,2707,2882,2844,2844
PRIVADOS DE CESAR,1584,1951,1879,1879
GC 1 DE CESAR,431,534,523,523
GC 2 DE CESAR,10703,11553,11386,11386
GC 3 DE CESAR,1791,1806,1800,1800
CHOCO,5645,5491,5337,5337
OFICIALES URBANOS DE CHOCO,3510,3657,3582,3582
OFICIALES RURALES DE CHOCO,2002,1650,1585,1585
PRIVADOS DE CHOCO,133,184,170,170
GC 1 DE CHOCO,871,713,683,683
GC 2 DE CHOCO,4325,4250,4136,4136
GC 3 DE CHOCO,449,528,518,518
CORDOBA,22044,22136,21924,21924
OFICIALES URBANOS DE CORDOBA,11011,10828,10730,10730
OFICIALES RURALES DE CORDOBA,9044,8746,8660,8660
PRIVADOS DE CORDOBA,1989,2562,2534,2534
GC 1 DE CORDOBA,6126,5858,5801,5801
GC 2 DE CORDOBA,13964,14110,13960,13960
GC 3 DE CORDOBA,1879,2095,2090,2090
GC 4 DE CORDOBA,59,59,59,59
CUNDINAMARCA,34407,35168,34618,34618
OFICIALES URBANOS DE CUNDINAMARCA,17647,18101,17768,17768
OFICIALES RURALES DE CUNDINAMARCA,5364,5458,5354,5354
PRIVADOS DE CUNDINAMARCA,11396,11609,11496,11496
GC 1 DE CUNDINAMARCA,169,175,168,168
GC 2 DE CUNDINAMARCA,14620,14990,14682,14682
GC 3 DE CUNDINAMARCA,18624,19017,18790,18790
GC 4 DE CUNDINAMARCA,994,986,978,978
GUAINIA,406,411,391,391
OFICIALES URBANOS DE GUAINIA,245,245,238,238
