pai_et_municipios,promedio,comparacion_plc,desviacion,comparacion_dlc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
AMAZONAS,48,,9,,6%,55%,34%,5%,48%,57%,58%,Lectura Crítica
OFICIALES URBANOS DE AMAZONAS,50,Similar,9,Similar,5%,51%,39%,5%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE AMAZONAS,43,Mayor,7,Mayor,12%,73%,15%,0%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE AMAZONAS,61,Menor,10,Similar,0%,10%,67%,24%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE AMAZONAS,43,Mayor,8,Similar,16%,66%,16%,1%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE AMAZONAS,48,Similar,9,Similar,5%,56%,35%,4%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE AMAZONAS,61,Menor,9,Similar,0%,10%,63%,27%,N.D.,N.D.,N.D.,Lectura Crítica
ANTIOQUIA,54,,10,,3%,34%,49%,13%,37%,48%,50%,Lectura Crítica
OFICIALES URBANOS DE ANTIOQUIA,54,Similar,10,Similar,3%,34%,52%,11%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE ANTIOQUIA,48,Mayor,9,Similar,8%,52%,36%,4%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE ANTIOQUIA,60,Menor,10,Similar,1%,16%,51%,31%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE ANTIOQUIA,45,Mayor,8,Mayor,13%,63%,24%,1%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE ANTIOQUIA,51,Similar,9,Similar,5%,44%,45%,6%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE ANTIOQUIA,58,Menor,9,Similar,1%,21%,57%,21%,N.D.,N.D.,N.D.,Lectura Crítica
GC 4 DE ANTIOQUIA,65,Menor,9,Similar,0%,5%,42%,52%,N.D.,N.D.,N.D.,Lectura Crítica
ARAUCA,52,,10,,4%,40%,48%,9%,40%,50%,53%,Lectura Crítica
OFICIALES URBANOS DE ARAUCA,53,Similar,9,Similar,3%,37%,50%,10%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE ARAUCA,49,Similar,8,Mayor,6%,50%,42%,2%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE ARAUCA,54,Similar,11,Similar,5%,32%,47%,15%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE ARAUCA,47,Mayor,8,Mayor,12%,54%,34%,0%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE ARAUCA,52,Similar,9,Similar,3%,41%,48%,7%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE ARAUCA,58,Menor,10,Similar,2%,21%,53%,24%,N.D.,N.D.,N.D.,Lectura Crítica
ATLANTICO,53,,10,,4%,37%,46%,14%,38%,48%,51%,Lectura Crítica
OFICIALES URBANOS DE ATLANTICO,53,Similar,10,Similar,4%,38%,47%,11%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE ATLANTICO,47,Mayor,9,Similar,10%,59%,29%,2%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE ATLANTICO,56,Similar,11,Similar,3%,29%,46%,22%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE ATLANTICO,46,Mayor,8,Mayor,12%,59%,27%,2%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE ATLANTICO,51,Similar,10,Similar,5%,46%,43%,6%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE ATLANTICO,59,Menor,10,Similar,1%,17%,54%,28%,N.D.,N.D.,N.D.,Lectura Crítica
GC 4 DE ATLANTICO,67,Menor,7,Mayor,0%,2%,34%,64%,N.D.,N.D.,N.D.,Lectura Crítica
BOGOTÁ,57,,10,,1%,24%,55%,20%,33%,42%,44%,Lectura Crítica
OFICIALES URBANOS DE BOGOTÁ,55,Similar,9,Similar,2%,31%,56%,11%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE BOGOTÁ,51,Mayor,9,Similar,3%,47%,47%,3%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE BOGOTÁ,61,Menor,9,Similar,1%,14%,53%,33%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE BOGOTÁ,50,Mayor,7,Mayor,0%,50%,50%,0%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE BOGOTÁ,52,Mayor,9,Similar,3%,40%,50%,7%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE BOGOTÁ,58,Similar,9,Similar,1%,21%,57%,21%,N.D.,N.D.,N.D.,Lectura Crítica
BOLIVAR,51,,11,,6%,46%,38%,9%,43%,53%,56%,Lectura Crítica
OFICIALES URBANOS DE BOLIVAR,50,Similar,10,Similar,6%,48%,40%,6%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE BOLIVAR,45,Mayor,8,Mayor,12%,64%,22%,1%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE BOLIVAR,59,Menor,11,Similar,2%,22%,48%,28%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE BOLIVAR,44,Mayor,7,Mayor,13%,68%,19%,0%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE BOLIVAR,49,Similar,10,Similar,7%,52%,36%,5%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE BOLIVAR,60,Menor,10,Similar,1%,18%,52%,29%,N.D.,N.D.,N.D.,Lectura Crítica
GC 4 DE BOLIVAR,66,Menor,8,Mayor,0%,4%,41%,55%,N.D.,N.D.,N.D.,Lectura Crítica
BOYACA,56,,10,,2%,28%,54%,16%,34%,44%,47%,Lectura Crítica
OFICIALES URBANOS DE BOYACA,55,Similar,9,Similar,2%,28%,57%,13%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE BOYACA,51,Mayor,9,Similar,4%,42%,48%,6%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE BOYACA,62,Menor,10,Similar,1%,11%,51%,38%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE BOYACA,49,Mayor,9,Similar,5%,52%,39%,4%,N.D.,N.D.,N.D.,Lectura Crítica
GC 2 DE BOYACA,53,Similar,9,Similar,2%,35%,54%,9%,N.D.,N.D.,N.D.,Lectura Crítica
GC 3 DE BOYACA,61,Menor,9,Similar,0%,12%,57%,31%,N.D.,N.D.,N.D.,Lectura Crítica
GC 4 DE BOYACA,68,Menor,8,Mayor,0%,1%,35%,64%,N.D.,N.D.,N.D.,Lectura Crítica
CALDAS,54,,10,,2%,34%,50%,14%,37%,47%,49%,Lectura Crítica
OFICIALES URBANOS DE CALDAS,54,Similar,10,Similar,2%,33%,53%,13%,N.D.,N.D.,N.D.,Lectura Crítica
OFICIALES RURALES DE CALDAS,50,Mayor,9,Similar,4%,49%,44%,4%,N.D.,N.D.,N.D.,Lectura Crítica
PRIVADOS DE CALDAS,63,Menor,10,Similar,1%,10%,48%,42%,N.D.,N.D.,N.D.,Lectura Crítica
GC 1 DE CALDAS,49,Mayor,8,Mayor,5%,53%,40%,2%,N.D.,N.D.,N.D.,Lectura Crítica
