codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_plc,desviacion,comparacion_dlc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,61,Menor,11,Similar,0%,10%,66%,24%,25%,36%,38%,Lectura Crítica
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,54,Similar,9,Similar,4%,34%,51%,11%,39%,47%,51%,Lectura Crítica
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,43,Similar,6,Similar,9%,79%,12%,0%,58%,72%,62%,Lectura Crítica
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),61,Menor,7,Similar,0%,17%,33%,50%,28%,33%,40%,Lectura Crítica
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,48,Similar,8,Similar,3%,66%,29%,3%,47%,61%,58%,Lectura Crítica
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,47,Similar,7,Similar,2%,63%,35%,0%,53%,60%,58%,Lectura Crítica
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,50,Similar,9,Similar,4%,49%,44%,3%,44%,54%,57%,Lectura Crítica
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,41,Similar,6,Similar,10%,81%,10%,0%,61%,72%,67%,Lectura Crítica
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,48,Similar,8,Similar,10%,55%,31%,3%,48%,57%,62%,Lectura Crítica
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,44,Similar,9,Similar,16%,64%,20%,0%,57%,65%,63%,Lectura Crítica
391001000844,LETICIA,COL. SELVALEGRE,64,Menor,7,Similar,0%,0%,75%,25%,17%,31%,36%,Lectura Crítica
391001000992,LETICIA,LICEO LOS ANGELES,59,Menor,8,Similar,0%,11%,67%,22%,30%,38%,37%,Lectura Crítica
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,45,Similar,7,Similar,7%,73%,20%,0%,51%,67%,63%,Lectura Crítica
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,47,Similar,7,Similar,4%,71%,21%,4%,52%,57%,65%,Lectura Crítica
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,42,Similar,8,Similar,23%,65%,12%,0%,59%,66%,68%,Lectura Crítica
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,37,Mayor,6,Similar,54%,46%,0%,0%,65%,73%,73%,Lectura Crítica
