pai_et_municipios,prom_puntaje_global,comparacion_pg,desviacion,comparacion_dpg
AMAZONAS,225,,44,
OFICIALES URBANOS DE AMAZONAS,231,Similar,42,Similar
OFICIALES RURALES DE AMAZONAS,196,Mayor,29,Mayor
PRIVADOS DE AMAZONAS,290,Menor,43,Similar
GC 1 DE AMAZONAS,200,Mayor,31,Mayor
GC 2 DE AMAZONAS,223,Similar,41,Similar
GC 3 DE AMAZONAS,292,Menor,43,Similar
ANTIOQUIA,255,,50,
OFICIALES URBANOS DE ANTIOQUIA,254,Similar,46,Mayor
OFICIALES RURALES DE ANTIOQUIA,226,Mayor,43,Mayor
PRIVADOS DE ANTIOQUIA,289,Menor,52,Similar
GC 1 DE ANTIOQUIA,209,Mayor,37,Mayor
GC 2 DE ANTIOQUIA,238,Similar,44,Mayor
GC 3 DE ANTIOQUIA,275,Similar,47,Similar
GC 4 DE ANTIOQUIA,326,Menor,43,Mayor
ARAUCA,251,,47,
OFICIALES URBANOS DE ARAUCA,256,Similar,46,Similar
OFICIALES RURALES DE ARAUCA,236,Similar,40,Mayor
PRIVADOS DE ARAUCA,258,Similar,56,Menor
GC 1 DE ARAUCA,226,Mayor,38,Mayor
GC 2 DE ARAUCA,250,Similar,45,Similar
GC 3 DE ARAUCA,280,Menor,49,Similar
ATLANTICO,253,,52,
OFICIALES URBANOS DE ATLANTICO,249,Similar,48,Mayor
OFICIALES RURALES DE ATLANTICO,219,Mayor,40,Mayor
PRIVADOS DE ATLANTICO,269,Similar,58,Menor
GC 1 DE ATLANTICO,214,Mayor,38,Mayor
GC 2 DE ATLANTICO,238,Similar,45,Mayor
GC 3 DE ATLANTICO,285,Menor,49,Similar
GC 4 DE ATLANTICO,340,Menor,37,Mayor
BOGOTÁ,274,,48,
OFICIALES URBANOS DE BOGOTÁ,260,Similar,43,Mayor
OFICIALES RURALES DE BOGOTÁ,243,Mayor,38,Mayor
PRIVADOS DE BOGOTÁ,295,Similar,47,Similar
GC 1 DE BOGOTÁ,240,Mayor,35,Mayor
GC 2 DE BOGOTÁ,248,Mayor,41,Mayor
GC 3 DE BOGOTÁ,278,Similar,45,Similar
BOLIVAR,238,,51,
OFICIALES URBANOS DE BOLIVAR,234,Similar,46,Mayor
OFICIALES RURALES DE BOLIVAR,211,Mayor,38,Mayor
PRIVADOS DE BOLIVAR,280,Menor,56,Menor
GC 1 DE BOLIVAR,206,Mayor,35,Mayor
GC 2 DE BOLIVAR,229,Similar,45,Mayor
GC 3 DE BOLIVAR,285,Menor,52,Similar
GC 4 DE BOLIVAR,330,Menor,39,Mayor
BOYACA,273,,48,
OFICIALES URBANOS DE BOYACA,270,Similar,45,Similar
OFICIALES RURALES DE BOYACA,251,Similar,43,Mayor
PRIVADOS DE BOYACA,305,Menor,48,Similar
GC 1 DE BOYACA,243,Mayor,41,Mayor
GC 2 DE BOYACA,260,Similar,43,Mayor
GC 3 DE BOYACA,298,Menor,44,Mayor
GC 4 DE BOYACA,344,Menor,37,Mayor
CALDAS,260,,49,
OFICIALES URBANOS DE CALDAS,260,Similar,47,Similar
OFICIALES RURALES DE CALDAS,238,Similar,40,Mayor
PRIVADOS DE CALDAS,307,Menor,49,Similar
GC 1 DE CALDAS,233,Mayor,38,Mayor
GC 2 DE CALDAS,247,Similar,43,Mayor
GC 3 DE CALDAS,286,Menor,49,Similar
GC 4 DE CALDAS,323,Menor,37,Mayor
CAQUETA,251,,46,
OFICIALES URBANOS DE CAQUETA,253,Similar,43,Similar
OFICIALES RURALES DE CAQUETA,228,Similar,36,Mayor
PRIVADOS DE CAQUETA,283,Menor,59,Menor
GC 1 DE CAQUETA,227,Mayor,34,Mayor
GC 2 DE CAQUETA,247,Similar,43,Similar
GC 3 DE CAQUETA,291,Menor,45,Similar
GC 4 DE CAQUETA,354,Menor,19,Mayor
CASANARE,262,,47,
OFICIALES URBANOS DE CASANARE,262,Similar,44,Similar
OFICIALES RURALES DE CASANARE,245,Similar,48,Similar
PRIVADOS DE CASANARE,299,Menor,57,Menor
GC 1 DE CASANARE,242,Similar,52,Menor
GC 2 DE CASANARE,257,Similar,44,Similar
GC 3 DE CASANARE,299,Menor,47,Similar
GC 4 DE CASANARE,346,Menor,42,Mayor
CAUCA,237,,48,
OFICIALES URBANOS DE CAUCA,249,Similar,50,Similar
OFICIALES RURALES DE CAUCA,221,Similar,39,Mayor
PRIVADOS DE CAUCA,248,Similar,54,Menor
GC 1 DE CAUCA,215,Similar,36,Mayor
GC 2 DE CAUCA,237,Similar,45,Similar
GC 3 DE CAUCA,288,Menor,50,Similar
