codigo_dane,pai_et_municipios,establecimientos_educativos,prom_puntaje_global,comparacion_pg,desviacion,comparacion_dpg
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,291,Menor,44,Similar
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,255,Menor,45,Similar
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,196,Mayor,24,Mayor
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),303,Menor,44,Similar
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,221,Mayor,32,Mayor
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,213,Mayor,32,Mayor
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,231,Menor,38,Similar
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,185,Mayor,20,Mayor
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,222,Similar,32,Mayor
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,201,Mayor,29,Mayor
391001000844,LETICIA,COL. SELVALEGRE,311,Menor,35,Mayor
391001000992,LETICIA,LICEO LOS ANGELES,278,Menor,46,Similar
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,204,Mayor,36,Mayor
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,216,Mayor,32,Mayor
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,190,Mayor,29,Mayor
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,184,Mayor,30,Mayor
291263000018,PUERTO ARICA,ESC VILLA FATIMA,187,Mayor,21,Mayor
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,212,Mayor,32,Mayor
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,193,Mayor,25,Mayor
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,209,Mayor,23,Mayor
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,210,Mayor,30,Mayor
105001003298,MEDELLÍN,INST EDUC LORENZA VILLEGAS DE SANTOS,275,Menor,40,Mayor
305001004854,MEDELLÍN,INSTITUCION EDUCATIVA ALVERNIA ,255,Similar,42,Mayor
105001001368,MEDELLÍN,INST EDUC ALVARO MARIN VELASCO,225,Mayor,39,Mayor
105001006068,MEDELLÍN,INSTITUCION EDUCATIVA DINAMARCA,264,Menor,44,Similar
205001009797,MEDELLÍN,INST EDUC MANUEL J. BETANCUR,254,Similar,45,Similar
