codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,56,Menor,10,Similar,10%,41%,34%,14%,23%,39%,47%,69%,59%,48%,Sociales y Ciudadanas
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,49,Similar,11,Similar,28%,38%,30%,3%,41%,58%,56%,78%,57%,53%,Sociales y Ciudadanas
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,37,Similar,6,Mayor,76%,24%,0%,0%,59%,78%,73%,100%,56%,83%,Sociales y Ciudadanas
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),59,Menor,11,Similar,0%,33%,50%,17%,32%,30%,51%,0%,50%,29%,Sociales y Ciudadanas
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,42,Similar,9,Similar,49%,44%,7%,0%,49%,65%,68%,59%,59%,60%,Sociales y Ciudadanas
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,42,Similar,9,Similar,45%,49%,6%,0%,52%,65%,69%,67%,68%,70%,Sociales y Ciudadanas
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,44,Similar,9,Similar,40%,49%,12%,0%,49%,64%,63%,70%,62%,63%,Sociales y Ciudadanas
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,36,Similar,6,Mayor,79%,21%,0%,0%,60%,69%,76%,N.D.,63%,68%,Sociales y Ciudadanas
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,42,Similar,8,Similar,47%,47%,7%,0%,50%,75%,62%,55%,69%,66%,Sociales y Ciudadanas
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,40,Similar,8,Similar,68%,24%,8%,0%,56%,67%,75%,67%,77%,50%,Sociales y Ciudadanas
391001000844,LETICIA,COL. SELVALEGRE,63,Menor,10,Similar,0%,25%,50%,25%,23%,47%,42%,100%,30%,0%,Sociales y Ciudadanas
391001000992,LETICIA,LICEO LOS ANGELES,53,Menor,12,Similar,22%,33%,33%,11%,30%,51%,50%,75%,30%,60%,Sociales y Ciudadanas
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,40,Similar,7,Similar,60%,40%,0%,0%,54%,66%,64%,75%,75%,61%,Sociales y Ciudadanas
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,41,Similar,8,Similar,54%,43%,4%,0%,53%,66%,68%,69%,66%,61%,Sociales y Ciudadanas
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,36,Similar,7,Similar,81%,19%,0%,0%,67%,75%,80%,50%,50%,80%,Sociales y Ciudadanas
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,36,Similar,5,Mayor,85%,15%,0%,0%,75%,71%,75%,N.D.,71%,81%,Sociales y Ciudadanas
291263000018,PUERTO ARICA,ESC VILLA FATIMA,38,Similar,7,Similar,80%,20%,0%,0%,74%,66%,67%,75%,73%,58%,Sociales y Ciudadanas
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,41,Similar,9,Similar,56%,38%,6%,0%,53%,67%,72%,N.D.,N.D.,67%,Sociales y Ciudadanas
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,37,Similar,6,Mayor,76%,24%,0%,0%,60%,63%,74%,N.D.,N.D.,80%,Sociales y Ciudadanas
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,38,Similar,4,Mayor,75%,25%,0%,0%,63%,86%,75%,50%,67%,67%,Sociales y Ciudadanas
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,41,Similar,9,Similar,50%,33%,17%,0%,50%,73%,78%,N.D.,N.D.,58%,Sociales y Ciudadanas
105001003298,MEDELLÍN,INST EDUC LORENZA VILLEGAS DE SANTOS,53,Similar,10,Similar,10%,48%,41%,1%,30%,49%,50%,63%,51%,51%,Sociales y Ciudadanas
305001004854,MEDELLÍN,INSTITUCION EDUCATIVA ALVERNIA ,49,Similar,10,Similar,20%,55%,23%,2%,36%,54%,59%,76%,59%,56%,Sociales y Ciudadanas
105001001368,MEDELLÍN,INST EDUC ALVARO MARIN VELASCO,42,Similar,9,Similar,50%,41%,9%,0%,45%,72%,68%,64%,67%,57%,Sociales y Ciudadanas
105001006068,MEDELLÍN,INSTITUCION EDUCATIVA DINAMARCA,51,Similar,10,Similar,18%,46%,35%,1%,32%,53%,51%,60%,53%,55%,Sociales y Ciudadanas
205001009797,MEDELLÍN,INST EDUC MANUEL J. BETANCUR,49,Similar,11,Similar,20%,55%,24%,1%,39%,54%,58%,58%,63%,58%,Sociales y Ciudadanas
105001000981,MEDELLÍN,INSTITUCION EDUCATIVA GILBERTO ALZATE AVENDAÑO,49,Similar,11,Similar,27%,44%,27%,2%,39%,58%,58%,69%,57%,59%,Sociales y Ciudadanas
305001010358,MEDELLÍN,COL ADVENTISTA SIMON BOLIVAR,54,Similar,10,Similar,11%,51%,32%,5%,23%,46%,53%,61%,43%,56%,Sociales y Ciudadanas
105001011061,MEDELLÍN,INST EDUC JOSE ASUNCION SILVA,53,Similar,10,Similar,11%,40%,45%,3%,33%,47%,53%,70%,54%,41%,Sociales y Ciudadanas
205001001672,MEDELLÍN,INST EDUC MONSEÑOR VICTOR WIEDEMANN,49,Similar,10,Similar,21%,50%,28%,2%,37%,59%,55%,70%,53%,56%,Sociales y Ciudadanas
305001016542,MEDELLÍN,INSTITUCION EDUCATIVA EL TRIUNFO SANTA TERESA,51,Similar,9,Similar,15%,48%,37%,1%,33%,57%,52%,53%,53%,56%,Sociales y Ciudadanas
105001000108,MEDELLÍN,INSTITUCION EDUCATIVA CENTRO FORMATIVO DE ANTIOQUIA -CEFA,54,Similar,10,Similar,10%,44%,42%,4%,30%,46%,52%,67%,55%,46%,Sociales y Ciudadanas
305001005907,MEDELLÍN,COL EMILIA RIQUELME,55,Similar,9,Similar,5%,43%,48%,5%,29%,41%,47%,38%,36%,39%,Sociales y Ciudadanas
305001007586,MEDELLÍN,COL CAMPESTRE LA COLINA,61,Menor,9,Similar,2%,18%,70%,9%,15%,31%,32%,33%,29%,42%,Sociales y Ciudadanas
305001003955,MEDELLÍN,COMUNIDAD COLEGIO JESUS MARIA,65,Menor,8,Mayor,0%,12%,64%,24%,18%,19%,34%,41%,28%,24%,Sociales y Ciudadanas
