codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pcn,desviacion,comparacion_dcn,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,aprendizaje_7,aprendizaje_8,aprendizaje_9,aprendizaje_10,aprendizaje_11,aprendizaje_12,aprendizaje_13,aprendizaje_14,aprendizaje_15,aprendizaje_16,aprendizaje_17,aprendizaje_18,aprendizaje_19,aprendizaje_20,aprendizaje_21,aprendizaje_22,aprendizaje_23,aprendizaje_24,aprendizaje_25,aprendizaje_26,Competencia
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,56,Menor,9,Similar,0%,48%,41%,10%,21%,38%,20%,42%,66%,22%,41%,53%,31%,27%,15%,51%,29%,51%,42%,39%,28%,59%,51%,49%,34%,N.D.,57%,27%,42%,41%,Ciencias Naturales
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,51,Similar,9,Similar,17%,46%,35%,1%,36%,52%,41%,52%,61%,39%,35%,53%,52%,28%,24%,58%,32%,57%,45%,49%,44%,64%,55%,49%,41%,N.D.,64%,49%,49%,48%,Ciencias Naturales
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,38,Similar,5,Mayor,73%,27%,0%,0%,68%,71%,46%,73%,85%,57%,73%,75%,77%,0%,60%,84%,63%,67%,70%,62%,62%,73%,60%,67%,76%,N.D.,69%,73%,33%,79%,Ciencias Naturales
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),59,Menor,9,Similar,0%,17%,83%,0%,14%,38%,33%,29%,65%,10%,18%,44%,19%,25%,6%,42%,11%,74%,37%,38%,38%,58%,22%,30%,37%,N.D.,31%,33%,22%,38%,Ciencias Naturales
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,45,Similar,7,Similar,31%,59%,10%,0%,50%,63%,37%,59%,72%,53%,53%,68%,69%,55%,42%,72%,52%,67%,54%,67%,62%,70%,71%,61%,58%,N.D.,73%,53%,60%,60%,Ciencias Naturales
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,42,Similar,6,Similar,43%,55%,2%,0%,50%,58%,43%,59%,83%,52%,55%,75%,72%,50%,60%,87%,51%,66%,59%,60%,65%,75%,67%,74%,68%,N.D.,77%,55%,59%,79%,Ciencias Naturales
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,45,Similar,8,Similar,33%,55%,12%,0%,49%,58%,51%,62%,69%,46%,51%,68%,68%,48%,37%,68%,46%,69%,59%,67%,55%,69%,70%,65%,57%,N.D.,69%,56%,55%,63%,Ciencias Naturales
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,38,Similar,5,Mayor,74%,26%,0%,0%,62%,68%,62%,67%,86%,67%,76%,74%,86%,N.D.,61%,73%,61%,65%,71%,69%,70%,77%,66%,N.D.,73%,N.D.,81%,81%,N.D.,80%,Ciencias Naturales
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,44,Similar,7,Similar,31%,64%,5%,0%,54%,63%,63%,62%,70%,58%,53%,73%,68%,52%,42%,73%,39%,72%,59%,66%,52%,68%,70%,69%,52%,N.D.,81%,61%,71%,68%,Ciencias Naturales
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,40,Similar,6,Similar,48%,52%,0%,0%,55%,61%,37%,71%,76%,62%,62%,79%,79%,57%,57%,81%,76%,67%,60%,74%,64%,66%,82%,50%,72%,N.D.,68%,54%,62%,74%,Ciencias Naturales
391001000844,LETICIA,COL. SELVALEGRE,60,Menor,8,Similar,0%,50%,50%,0%,30%,27%,100%,33%,56%,50%,17%,57%,50%,50%,0%,20%,14%,33%,36%,30%,20%,67%,57%,33%,18%,N.D.,40%,43%,29%,33%,Ciencias Naturales
391001000992,LETICIA,LICEO LOS ANGELES,53,Menor,8,Similar,0%,78%,22%,0%,28%,35%,27%,45%,59%,28%,23%,47%,38%,33%,13%,64%,46%,65%,44%,42%,53%,73%,67%,64%,41%,N.D.,59%,42%,53%,71%,Ciencias Naturales
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,42,Similar,8,Similar,47%,47%,7%,0%,50%,65%,53%,71%,77%,63%,74%,69%,59%,38%,46%,88%,63%,63%,56%,61%,50%,62%,91%,65%,65%,N.D.,80%,65%,56%,62%,Ciencias Naturales
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,44,Similar,7,Similar,39%,54%,7%,0%,60%,47%,53%,58%,77%,49%,49%,69%,67%,50%,47%,73%,67%,64%,53%,61%,57%,64%,79%,59%,45%,N.D.,67%,63%,78%,71%,Ciencias Naturales
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,38,Similar,6,Similar,73%,27%,0%,0%,60%,60%,52%,62%,82%,63%,71%,88%,78%,100%,66%,87%,73%,65%,79%,75%,72%,81%,57%,60%,68%,N.D.,77%,67%,33%,69%,Ciencias Naturales
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,41,Similar,7,Similar,46%,54%,0%,0%,38%,64%,64%,81%,80%,70%,50%,71%,73%,N.D.,69%,70%,46%,48%,57%,85%,74%,84%,68%,N.D.,57%,N.D.,78%,67%,N.D.,83%,Ciencias Naturales
291263000018,PUERTO ARICA,ESC VILLA FATIMA,37,Mayor,4,Mayor,90%,10%,0%,0%,68%,81%,63%,68%,72%,62%,83%,93%,86%,83%,69%,74%,75%,65%,53%,64%,53%,85%,81%,73%,70%,N.D.,70%,73%,67%,84%,Ciencias Naturales
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,42,Similar,7,Similar,50%,44%,6%,0%,42%,63%,28%,75%,97%,66%,64%,69%,73%,N.D.,48%,86%,52%,59%,64%,70%,53%,66%,72%,N.D.,71%,N.D.,70%,57%,N.D.,76%,Ciencias Naturales
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,38,Similar,6,Similar,76%,24%,0%,0%,64%,70%,43%,69%,93%,64%,78%,76%,79%,N.D.,68%,83%,48%,61%,72%,70%,66%,75%,63%,N.D.,70%,N.D.,75%,70%,N.D.,80%,Ciencias Naturales
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,42,Similar,7,Similar,25%,75%,0%,0%,44%,76%,71%,68%,71%,69%,60%,65%,67%,0%,50%,88%,64%,82%,72%,74%,82%,93%,73%,56%,50%,N.D.,93%,60%,47%,69%,Ciencias Naturales
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,42,Similar,8,Similar,33%,67%,0%,0%,58%,75%,17%,89%,83%,58%,50%,100%,50%,N.D.,42%,78%,42%,50%,78%,39%,58%,94%,50%,N.D.,56%,N.D.,78%,78%,N.D.,75%,Ciencias Naturales
205002000611,ABEJORRAL,I. E. R. ZOILA DUQUE BAENA,46,Similar,9,Similar,30%,48%,22%,0%,39%,58%,38%,56%,70%,43%,44%,68%,45%,50%,47%,63%,45%,75%,48%,52%,41%,77%,76%,67%,60%,N.D.,80%,44%,61%,64%,Ciencias Naturales
105002000047,ABEJORRAL,INSTITUCION EDUCATIVA FUNDACION CELIA DUQUE DE DUQUE,49,Similar,8,Similar,16%,61%,24%,0%,39%,60%,35%,55%,66%,42%,42%,55%,50%,34%,32%,66%,41%,63%,49%,61%,48%,70%,68%,71%,53%,N.D.,63%,43%,44%,52%,Ciencias Naturales
105002000055,ABEJORRAL,I. E. MANUEL CANUTO RESTREPO,46,Similar,8,Similar,28%,63%,9%,0%,55%,59%,44%,56%,75%,38%,47%,60%,67%,43%,38%,70%,42%,70%,59%,72%,40%,58%,79%,55%,52%,N.D.,70%,61%,61%,58%,Ciencias Naturales
205002000777,ABEJORRAL,INSTITUCIÓN EDUCATIVA RURAL PANTANILLO,51,Similar,10,Similar,22%,44%,33%,0%,41%,52%,35%,53%,57%,34%,33%,42%,63%,40%,33%,58%,29%,54%,56%,52%,35%,53%,56%,33%,46%,N.D.,78%,39%,52%,59%,Ciencias Naturales
105002000161,ABEJORRAL,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE ABEJORRAL,54,Similar,8,Similar,7%,51%,41%,0%,40%,52%,27%,44%,58%,28%,35%,49%,54%,24%,24%,55%,28%,50%,38%,50%,27%,58%,57%,35%,36%,N.D.,58%,36%,55%,51%,Ciencias Naturales
105004000109,ABRIAQUÍ,INSTITUCION EDUCATIVA LA MILAGROSA,45,Similar,8,Similar,22%,72%,6%,0%,50%,62%,43%,70%,60%,47%,58%,71%,66%,71%,47%,63%,44%,63%,53%,66%,44%,67%,58%,52%,53%,N.D.,69%,43%,55%,67%,Ciencias Naturales
