pai_et_municipios,matriculados,registrados,presentes,publicados
AMAZONAS,873,892,843,843
OFICIALES URBANOS DE AMAZONAS,611,601,576,576
OFICIALES RURALES DE AMAZONAS,222,249,225,225
PRIVADOS DE AMAZONAS,40,42,42,42
GC 1 DE AMAZONAS,69,100,94,94
GC 2 DE AMAZONAS,764,743,700,700
GC 3 DE AMAZONAS,40,49,49,49
ANTIOQUIA,24449,25271,24735,24735
OFICIALES URBANOS DE ANTIOQUIA,15181,15711,15394,15394
OFICIALES RURALES DE ANTIOQUIA,8058,8247,8056,8056
PRIVADOS DE ANTIOQUIA,1210,1313,1285,1285
GC 1 DE ANTIOQUIA,2069,2128,2077,2077
GC 2 DE ANTIOQUIA,17228,18057,17642,17642
GC 3 DE ANTIOQUIA,5096,5031,4961,4961
GC 4 DE ANTIOQUIA,55,54,54,54
APARTADO,1659,1731,1677,1677
OFICIALES URBANOS DE APARTADO,1243,1242,1211,1211
OFICIALES RURALES DE APARTADO,260,258,252,252
PRIVADOS DE APARTADO,156,231,214,214
GC 1 DE APARTADO,81,84,82,82
GC 2 DE APARTADO,1329,1396,1345,1345
GC 3 DE APARTADO,249,251,250,250
ARAUCA,2560,3113,3048,3048
OFICIALES URBANOS DE ARAUCA,1825,2009,1979,1979
OFICIALES RURALES DE ARAUCA,564,766,753,753
PRIVADOS DE ARAUCA,171,338,316,316
GC 1 DE ARAUCA,186,209,204,204
GC 2 DE ARAUCA,2137,2591,2539,2539
GC 3 DE ARAUCA,237,313,305,305
ARMENIA,2819,2779,2721,2721
OFICIALES URBANOS DE ARMENIA,2352,2320,2265,2265
OFICIALES RURALES DE ARMENIA,65,65,65,65
PRIVADOS DE ARMENIA,402,394,391,391
GC 2 DE ARMENIA,1066,1049,1023,1023
GC 3 DE ARMENIA,1711,1690,1658,1658
GC 4 DE ARMENIA,42,40,40,40
ATLANTICO,6812,6807,6738,6738
OFICIALES URBANOS DE ATLANTICO,5225,5153,5093,5093
OFICIALES RURALES DE ATLANTICO,1081,1144,1138,1138
PRIVADOS DE ATLANTICO,506,510,507,507
GC 1 DE ATLANTICO,82,111,111,111
GC 2 DE ATLANTICO,5969,5932,5867,5867
GC 3 DE ATLANTICO,647,648,646,646
GC 4 DE ATLANTICO,114,114,114,114
BARRANCABERMEJA,2744,2658,2616,2616
OFICIALES URBANOS DE BARRANCABERMEJA,1926,1857,1824,1824
OFICIALES RURALES DE BARRANCABERMEJA,363,357,350,350
PRIVADOS DE BARRANCABERMEJA,455,444,442,442
GC 2 DE BARRANCABERMEJA,1793,1724,1686,1686
GC 3 DE BARRANCABERMEJA,897,880,876,876
GC 4 DE BARRANCABERMEJA,54,54,54,54
BARRANQUILLA,14357,14640,14521,14521
OFICIALES URBANOS DE BARRANQUILLA,10988,11019,10931,10931
PRIVADOS DE BARRANQUILLA,3369,3621,3590,3590
GC 1 DE BARRANQUILLA,57,55,55,55
GC 2 DE BARRANQUILLA,7443,7628,7553,7553
GC 3 DE BARRANQUILLA,6787,6889,6845,6845
GC 4 DE BARRANQUILLA,70,68,68,68
BELLO,4538,4719,4603,4603
OFICIALES URBANOS DE BELLO,3114,3268,3183,3183
OFICIALES RURALES DE BELLO,58,69,65,65
PRIVADOS DE BELLO,1366,1382,1355,1355
GC 2 DE BELLO,2126,2311,2229,2229
GC 3 DE BELLO,2412,2408,2374,2374
BOGOTA,72077,74545,73085,73085
OFICIALES URBANOS DE BOGOTA,44326,44651,43777,43777
OFICIALES RURALES DE BOGOTA,419,414,410,410
PRIVADOS DE BOGOTA,27332,29480,28898,28898
GC 1 DE BOGOTA,12,10,10,10
GC 2 DE BOGOTA,14608,16100,15466,15466
GC 3 DE BOGOTA,53653,54782,53969,53969
BOLIVAR,11268,10861,10697,10697
OFICIALES URBANOS DE BOLIVAR,6837,6640,6543,6543
OFICIALES RURALES DE BOLIVAR,3804,3513,3455,3455
PRIVADOS DE BOLIVAR,627,708,699,699
GC 1 DE BOLIVAR,1181,1090,1067,1067
GC 2 DE BOLIVAR,9533,9199,9063,9063
GC 3 DE BOLIVAR,554,572,567,567
BOYACA,6291,9942,9811,9811
OFICIALES URBANOS DE BOYACA,4225,6889,6803,6803
OFICIALES RURALES DE BOYACA,1398,2363,2327,2327
PRIVADOS DE BOYACA,668,690,681,681
GC 1 DE BOYACA,315,584,572,572
GC 2 DE BOYACA,4757,8150,8038,8038
GC 3 DE BOYACA,1184,1174,1167,1167
GC 4 DE BOYACA,35,34,34,34
BUCARAMANGA,6385,6376,6282,6282
OFICIALES URBANOS DE BUCARAMANGA,4640,4541,4466,4466
OFICIALES RURALES DE BUCARAMANGA,66,66,63,63
PRIVADOS DE BUCARAMANGA,1679,1769,1753,1753
GC 2 DE BUCARAMANGA,2181,2099,2054,2054
GC 3 DE BUCARAMANGA,4057,4108,4059,4059
GC 4 DE BUCARAMANGA,147,169,169,169
BUENAVENTURA,3253,3227,3145,3145
OFICIALES URBANOS DE BUENAVENTURA,2202,2165,2103,2103
OFICIALES RURALES DE BUENAVENTURA,421,390,381,381
PRIVADOS DE BUENAVENTURA,630,672,661,661
GC 1 DE BUENAVENTURA,128,107,103,103
GC 2 DE BUENAVENTURA,2621,2555,2488,2488
GC 3 DE BUENAVENTURA,504,565,554,554
BUGA,904,895,881,881
OFICIALES URBANOS DE BUGA,768,754,742,742
OFICIALES RURALES DE BUGA,61,62,62,62
PRIVADOS DE BUGA,75,79,77,77
GC 1 DE BUGA,16,17,17,17
GC 2 DE BUGA,751,737,725,725
GC 3 DE BUGA,137,141,139,139
CALDAS,5539,5585,5461,5461
OFICIALES URBANOS DE CALDAS,3540,3509,3429,3429
OFICIALES RURALES DE CALDAS,1802,1880,1838,1838
PRIVADOS DE CALDAS,197,196,194,194
GC 1 DE CALDAS,369,360,350,350
GC 2 DE CALDAS,4601,4660,4556,4556
GC 3 DE CALDAS,569,565,555,555
CALI,16371,16102,15840,15839
OFICIALES URBANOS DE CALI,10503,10371,10223,10223
OFICIALES RURALES DE CALI,549,587,582,582
