codigo_dane,pai_et_municipios,establecimientos_educativos,matriculados,registrados,presentes,publicados
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,29,29,29,29
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,148,150,147,147
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,32,33,33,33
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),0,7,7,7
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,83,78,71,71
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,62,58,54,54
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,194,178,173,173
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,47,43,42,42
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,57,61,58,58
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,28,27,26,26
391001000844,LETICIA,COL. SELVALEGRE,4,4,4,4
391001000992,LETICIA,LICEO LOS ANGELES,7,9,9,9
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,14,18,17,17
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,23,32,29,29
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,24,29,27,27
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,17,15,14,14
291263000018,PUERTO ARICA,ESC VILLA FATIMA,0,10,10,10
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,35,36,33,33
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,64,61,46,46
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,5,8,8,8
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,0,6,6,6
205002000611,ABEJORRAL,I. E. R. ZOILA DUQUE BAENA,23,23,23,23
105002000047,ABEJORRAL,INSTITUCION EDUCATIVA FUNDACION CELIA DUQUE DE DUQUE,50,51,51,51
105002000055,ABEJORRAL,I. E. MANUEL CANUTO RESTREPO,47,44,43,43
205002000777,ABEJORRAL,INSTITUCIÓN EDUCATIVA RURAL PANTANILLO,18,18,18,18
105002000161,ABEJORRAL,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE ABEJORRAL,42,42,41,41
105004000109,ABRIAQUÍ,INSTITUCION EDUCATIVA LA MILAGROSA,19,19,19,19
105021000139,ALEJANDRÍA,I. E. PROCESA DELGADO,42,42,41,41
