pai_et_municipios,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
AMAZONAS,46,,10,,64%,24%,8%,3%,1%,Inglés
OFICIALES URBANOS DE AMAZONAS,46,Similar,9,Similar,60%,28%,9%,3%,0%,Inglés
OFICIALES RURALES DE AMAZONAS,41,Mayor,7,Mayor,84%,14%,1%,1%,0%,Inglés
PRIVADOS DE AMAZONAS,61,Menor,12,Menor,17%,21%,36%,21%,5%,Inglés
GC 1 DE AMAZONAS,41,Mayor,8,Mayor,82%,14%,3%,1%,0%,Inglés
GC 2 DE AMAZONAS,45,Similar,9,Similar,66%,25%,7%,2%,0%,Inglés
GC 3 DE AMAZONAS,61,Menor,12,Menor,15%,23%,35%,23%,4%,Inglés
ANTIOQUIA,47,,11,,56%,27%,11%,5%,1%,Inglés
OFICIALES URBANOS DE ANTIOQUIA,49,Similar,11,Similar,50%,30%,13%,5%,1%,Inglés
OFICIALES RURALES DE ANTIOQUIA,43,Mayor,9,Mayor,73%,21%,5%,1%,0%,Inglés
PRIVADOS DE ANTIOQUIA,61,Menor,14,Menor,20%,24%,24%,22%,10%,Inglés
GC 1 DE ANTIOQUIA,41,Mayor,8,Mayor,83%,15%,2%,0%,0%,Inglés
GC 2 DE ANTIOQUIA,46,Similar,10,Similar,62%,26%,9%,3%,0%,Inglés
GC 3 DE ANTIOQUIA,56,Menor,12,Similar,25%,34%,23%,14%,4%,Inglés
GC 4 DE ANTIOQUIA,74,Menor,14,Menor,2%,9%,22%,30%,37%,Inglés
APARTADO,49,,11,,52%,28%,12%,7%,1%,Inglés
OFICIALES URBANOS DE APARTADO,48,Similar,10,Similar,53%,30%,11%,5%,1%,Inglés
OFICIALES RURALES DE APARTADO,44,Mayor,7,Mayor,69%,27%,3%,0%,0%,Inglés
PRIVADOS DE APARTADO,56,Menor,16,Menor,31%,20%,22%,21%,5%,Inglés
GC 1 DE APARTADO,41,Mayor,7,Mayor,78%,20%,2%,0%,0%,Inglés
GC 2 DE APARTADO,47,Similar,10,Similar,59%,29%,9%,3%,0%,Inglés
GC 3 DE APARTADO,61,Menor,12,Similar,11%,28%,28%,26%,6%,Inglés
ARAUCA,49,,10,,50%,32%,13%,5%,1%,Inglés
OFICIALES URBANOS DE ARAUCA,50,Similar,10,Similar,46%,33%,15%,5%,1%,Inglés
OFICIALES RURALES DE ARAUCA,46,Similar,8,Mayor,62%,31%,6%,1%,0%,Inglés
PRIVADOS DE ARAUCA,52,Similar,13,Menor,41%,24%,20%,11%,3%,Inglés
GC 1 DE ARAUCA,44,Mayor,7,Mayor,68%,30%,3%,0%,0%,Inglés
GC 2 DE ARAUCA,48,Similar,10,Similar,51%,32%,13%,4%,0%,Inglés
GC 3 DE ARAUCA,57,Menor,12,Menor,24%,31%,24%,16%,3%,Inglés
ARMENIA,58,,12,,20%,32%,24%,18%,6%,Inglés
OFICIALES URBANOS DE ARMENIA,56,Similar,11,Similar,23%,35%,24%,15%,3%,Inglés
OFICIALES RURALES DE ARMENIA,63,Menor,13,Similar,9%,34%,13%,36%,8%,Inglés
PRIVADOS DE ARMENIA,69,Menor,13,Similar,4%,15%,26%,34%,21%,Inglés
GC 2 DE ARMENIA,53,Mayor,10,Mayor,32%,41%,17%,9%,1%,Inglés
GC 3 DE ARMENIA,61,Similar,12,Similar,14%,27%,27%,24%,8%,Inglés
GC 4 DE ARMENIA,68,Menor,11,Similar,3%,11%,39%,21%,26%,Inglés
ATLANTICO,47,,11,,58%,28%,8%,5%,1%,Inglés
OFICIALES URBANOS DE ATLANTICO,47,Similar,10,Similar,59%,29%,8%,3%,1%,Inglés
OFICIALES RURALES DE ATLANTICO,44,Similar,9,Mayor,70%,24%,5%,1%,0%,Inglés
PRIVADOS DE ATLANTICO,62,Menor,15,Menor,18%,25%,20%,26%,12%,Inglés
GC 1 DE ATLANTICO,43,Mayor,7,Mayor,76%,21%,3%,0%,0%,Inglés
GC 2 DE ATLANTICO,46,Similar,9,Mayor,62%,28%,7%,3%,0%,Inglés
GC 3 DE ATLANTICO,57,Menor,12,Similar,27%,31%,23%,15%,5%,Inglés
GC 4 DE ATLANTICO,77,Menor,10,Similar,1%,1%,9%,52%,38%,Inglés
BARRANCABERMEJA,53,,13,,39%,30%,15%,12%,4%,Inglés
OFICIALES URBANOS DE BARRANCABERMEJA,50,Similar,11,Mayor,43%,33%,15%,7%,1%,Inglés
OFICIALES RURALES DE BARRANCABERMEJA,46,Mayor,9,Mayor,59%,30%,8%,3%,0%,Inglés
PRIVADOS DE BARRANCABERMEJA,68,Menor,13,Similar,7%,16%,22%,38%,18%,Inglés
GC 2 DE BARRANCABERMEJA,48,Mayor,10,Mayor,52%,32%,11%,4%,1%,Inglés
GC 3 DE BARRANCABERMEJA,61,Menor,13,Similar,16%,27%,23%,25%,8%,Inglés
GC 4 DE BARRANCABERMEJA,79,Menor,10,Mayor,0%,0%,8%,46%,46%,Inglés
BARRANQUILLA,54,,14,,35%,30%,17%,13%,5%,Inglés
OFICIALES URBANOS DE BARRANQUILLA,52,Similar,12,Mayor,39%,33%,16%,10%,2%,Inglés
PRIVADOS DE BARRANQUILLA,62,Menor,15,Similar,20%,22%,20%,24%,14%,Inglés
GC 1 DE BARRANQUILLA,43,Mayor,8,Mayor,74%,23%,4%,0%,0%,Inglés
GC 2 DE BARRANQUILLA,49,Mayor,10,Mayor,50%,33%,12%,5%,1%,Inglés
GC 3 DE BARRANQUILLA,61,Menor,14,Similar,18%,27%,23%,23%,10%,Inglés
GC 4 DE BARRANQUILLA,82,Menor,9,Mayor,0%,0%,3%,29%,68%,Inglés
BELLO,54,,12,,34%,32%,19%,12%,3%,Inglés
OFICIALES URBANOS DE BELLO,52,Similar,11,Similar,37%,35%,18%,9%,1%,Inglés
OFICIALES RURALES DE BELLO,49,Mayor,10,Mayor,49%,32%,9%,9%,0%,Inglés
PRIVADOS DE BELLO,57,Similar,14,Menor,28%,25%,22%,18%,6%,Inglés
GC 2 DE BELLO,49,Mayor,11,Similar,48%,32%,13%,6%,1%,Inglés
GC 3 DE BELLO,58,Menor,12,Similar,21%,32%,24%,18%,5%,Inglés
BOGOTA,57,,13,,24%,31%,22%,17%,5%,Inglés
OFICIALES URBANOS DE BOGOTA,53,Mayor,11,Mayor,33%,38%,20%,9%,1%,Inglés
OFICIALES RURALES DE BOGOTA,48,Mayor,9,Mayor,50%,36%,12%,2%,0%,Inglés
PRIVADOS DE BOGOTA,63,Menor,13,Similar,12%,22%,26%,29%,11%,Inglés
GC 1 DE BOGOTA,49,Mayor,10,Mayor,40%,30%,30%,0%,0%,Inglés
GC 2 DE BOGOTA,50,Mayor,10,Mayor,44%,37%,14%,4%,1%,Inglés
GC 3 DE BOGOTA,58,Similar,12,Similar,20%,32%,25%,18%,4%,Inglés
BOLIVAR,44,,10,,70%,20%,6%,3%,1%,Inglés
OFICIALES URBANOS DE BOLIVAR,44,Similar,9,Similar,69%,23%,6%,2%,0%,Inglés
OFICIALES RURALES DE BOLIVAR,41,Similar,7,Mayor,83%,15%,2%,0%,0%,Inglés
PRIVADOS DE BOLIVAR,59,Menor,14,Menor,22%,29%,21%,21%,7%,Inglés
GC 1 DE BOLIVAR,40,Mayor,7,Mayor,85%,14%,1%,0%,0%,Inglés
GC 2 DE BOLIVAR,44,Similar,9,Similar,72%,21%,5%,2%,0%,Inglés
GC 3 DE BOLIVAR,61,Menor,13,Menor,15%,29%,22%,25%,8%,Inglés
BOYACA,50,,10,,42%,36%,15%,6%,1%,Inglés
OFICIALES URBANOS DE BOYACA,50,Similar,10,Similar,42%,37%,15%,5%,0%,Inglés
OFICIALES RURALES DE BOYACA,48,Similar,9,Similar,52%,35%,12%,2%,0%,Inglés
PRIVADOS DE BOYACA,63,Menor,11,Similar,7%,27%,29%,30%,7%,Inglés
GC 1 DE BOYACA,46,Mayor,8,Mayor,61%,30%,8%,1%,0%,Inglés
GC 2 DE BOYACA,49,Similar,9,Similar,45%,37%,14%,4%,0%,Inglés
GC 3 DE BOYACA,60,Menor,11,Similar,13%,32%,28%,22%,4%,Inglés
GC 4 DE BOYACA,72,Menor,9,Similar,0%,9%,15%,50%,26%,Inglés
BUCARAMANGA,59,,14,,21%,29%,22%,19%,8%,Inglés
OFICIALES URBANOS DE BUCARAMANGA,56,Similar,12,Mayor,26%,34%,23%,13%,4%,Inglés
OFICIALES RURALES DE BUCARAMANGA,47,Mayor,7,Mayor,56%,39%,5%,0%,0%,Inglés
PRIVADOS DE BUCARAMANGA,67,Menor,14,Similar,9%,16%,20%,36%,19%,Inglés
GC 2 DE BUCARAMANGA,51,Mayor,10,Mayor,39%,39%,16%,6%,1%,Inglés
GC 3 DE BUCARAMANGA,62,Similar,13,Similar,13%,25%,26%,26%,10%,Inglés
GC 4 DE BUCARAMANGA,80,Menor,12,Mayor,1%,1%,7%,43%,48%,Inglés
BUENAVENTURA,45,,11,,66%,21%,8%,4%,1%,Inglés
OFICIALES URBANOS DE BUENAVENTURA,45,Similar,9,Mayor,68%,22%,7%,2%,0%,Inglés
OFICIALES RURALES DE BUENAVENTURA,40,Mayor,7,Mayor,87%,11%,2%,1%,0%,Inglés
