codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_ping,desviacion,comparacion_ding,desempeno_a_minus,desempeno_a1,desempeno_a2,desempeno_b1,desempeno_b_plus,Competencia
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,62,Menor,12,Similar,10%,21%,41%,21%,7%,Inglés
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,52,Similar,11,Similar,37%,35%,20%,7%,1%,Inglés
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,40,Similar,7,Similar,88%,13%,0%,0%,0%,Inglés
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),64,Menor,8,Similar,0%,33%,33%,33%,0%,Inglés
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,44,Similar,7,Similar,70%,26%,4%,0%,0%,Inglés
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,42,Similar,7,Similar,78%,22%,0%,0%,0%,Inglés
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,46,Similar,9,Similar,60%,30%,8%,2%,0%,Inglés
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,38,Mayor,7,Similar,88%,12%,0%,0%,0%,Inglés
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,45,Similar,7,Similar,69%,28%,3%,0%,0%,Inglés
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,40,Similar,5,Mayor,96%,4%,0%,0%,0%,Inglés
391001000844,LETICIA,COL. SELVALEGRE,61,Menor,10,Similar,0%,25%,50%,25%,0%,Inglés
391001000992,LETICIA,LICEO LOS ANGELES,55,Menor,13,Similar,44%,22%,11%,22%,0%,Inglés
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,41,Similar,8,Similar,80%,20%,0%,0%,0%,Inglés
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,44,Similar,9,Similar,78%,15%,4%,4%,0%,Inglés
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,37,Mayor,7,Similar,96%,4%,0%,0%,0%,Inglés
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,61,Menor,0,Mayor,0%,0%,100%,0%,0%,Inglés
291263000018,PUERTO ARICA,ESC VILLA FATIMA,39,Similar,5,Mayor,100%,0%,0%,0%,0%,Inglés
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,42,Similar,7,Similar,84%,16%,0%,0%,0%,Inglés
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,41,Similar,6,Mayor,80%,20%,0%,0%,0%,Inglés
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,43,Similar,7,Similar,50%,50%,0%,0%,0%,Inglés
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,45,Similar,4,Mayor,67%,33%,0%,0%,0%,Inglés
205002000611,ABEJORRAL,I. E. R. ZOILA DUQUE BAENA,42,Similar,6,Mayor,78%,22%,0%,0%,0%,Inglés
