pai_et_municipios,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
AMAZONAS,43,,11,,25%,51%,23%,1%,72%,51%,69%,Matemáticas
OFICIALES URBANOS DE AMAZONAS,45,Similar,10,Similar,16%,55%,28%,1%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE AMAZONAS,36,Mayor,8,Mayor,52%,44%,5%,0%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE AMAZONAS,59,Menor,10,Similar,0%,24%,62%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE AMAZONAS,37,Mayor,8,Mayor,43%,51%,7%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE AMAZONAS,43,Similar,10,Similar,24%,52%,23%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE AMAZONAS,59,Menor,10,Similar,0%,25%,58%,17%,N.D.,N.D.,N.D.,Matemáticas
ANTIOQUIA,49,,12,,14%,41%,42%,4%,64%,43%,61%,Matemáticas
OFICIALES URBANOS DE ANTIOQUIA,51,Similar,12,Similar,10%,38%,48%,4%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ANTIOQUIA,45,Mayor,11,Similar,22%,48%,29%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ANTIOQUIA,58,Menor,13,Similar,5%,20%,59%,16%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE ANTIOQUIA,41,Mayor,10,Mayor,30%,52%,18%,1%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE ANTIOQUIA,48,Similar,11,Similar,15%,43%,39%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ANTIOQUIA,56,Menor,11,Similar,4%,25%,62%,9%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE ANTIOQUIA,65,Menor,11,Similar,0%,13%,56%,31%,N.D.,N.D.,N.D.,Matemáticas
APARTADO,49,,11,,13%,44%,39%,3%,65%,44%,62%,Matemáticas
OFICIALES URBANOS DE APARTADO,48,Similar,11,Similar,12%,47%,38%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE APARTADO,46,Similar,10,Similar,19%,44%,36%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE APARTADO,53,Menor,14,Menor,12%,30%,45%,13%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE APARTADO,40,Mayor,10,Similar,37%,43%,20%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE APARTADO,48,Similar,10,Similar,14%,48%,37%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE APARTADO,57,Menor,11,Similar,4%,26%,56%,14%,N.D.,N.D.,N.D.,Matemáticas
ARAUCA,52,,11,,8%,35%,52%,5%,61%,38%,58%,Matemáticas
OFICIALES URBANOS DE ARAUCA,53,Similar,11,Similar,7%,33%,55%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ARAUCA,49,Similar,10,Similar,10%,43%,46%,2%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ARAUCA,52,Similar,14,Menor,13%,31%,49%,7%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE ARAUCA,47,Mayor,11,Similar,16%,47%,37%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE ARAUCA,52,Similar,11,Similar,8%,36%,52%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ARAUCA,57,Menor,12,Similar,5%,22%,62%,11%,N.D.,N.D.,N.D.,Matemáticas
ARMENIA,57,,13,,4%,24%,56%,15%,53%,32%,48%,Matemáticas
OFICIALES URBANOS DE ARMENIA,56,Similar,12,Similar,5%,27%,56%,12%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ARMENIA,57,Similar,10,Mayor,2%,20%,67%,11%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ARMENIA,64,Menor,13,Similar,2%,9%,58%,31%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE ARMENIA,52,Mayor,11,Mayor,7%,37%,50%,6%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ARMENIA,60,Similar,12,Similar,3%,17%,60%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE ARMENIA,62,Menor,9,Mayor,0%,13%,71%,16%,N.D.,N.D.,N.D.,Matemáticas
ATLANTICO,47,,11,,16%,46%,35%,3%,67%,47%,64%,Matemáticas
OFICIALES URBANOS DE ATLANTICO,47,Similar,11,Similar,16%,47%,35%,2%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE ATLANTICO,43,Mayor,11,Similar,24%,51%,23%,1%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE ATLANTICO,57,Menor,13,Menor,5%,23%,58%,14%,N.D.,N.D.,N.D.,Matemáticas
GC 1 DE ATLANTICO,42,Mayor,10,Similar,30%,53%,17%,0%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE ATLANTICO,46,Similar,11,Similar,18%,48%,33%,2%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE ATLANTICO,53,Menor,11,Similar,8%,31%,56%,5%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE ATLANTICO,71,Menor,11,Similar,0%,2%,51%,47%,N.D.,N.D.,N.D.,Matemáticas
BARRANCABERMEJA,54,,13,,7%,32%,50%,10%,57%,35%,55%,Matemáticas
OFICIALES URBANOS DE BARRANCABERMEJA,52,Similar,11,Mayor,7%,35%,51%,6%,N.D.,N.D.,N.D.,Matemáticas
OFICIALES RURALES DE BARRANCABERMEJA,49,Mayor,12,Similar,13%,43%,40%,3%,N.D.,N.D.,N.D.,Matemáticas
PRIVADOS DE BARRANCABERMEJA,65,Menor,13,Similar,2%,11%,53%,34%,N.D.,N.D.,N.D.,Matemáticas
GC 2 DE BARRANCABERMEJA,50,Mayor,11,Mayor,10%,40%,46%,4%,N.D.,N.D.,N.D.,Matemáticas
GC 3 DE BARRANCABERMEJA,60,Menor,12,Similar,3%,19%,59%,20%,N.D.,N.D.,N.D.,Matemáticas
GC 4 DE BARRANCABERMEJA,74,Menor,8,Mayor,0%,0%,38%,62%,N.D.,N.D.,N.D.,Matemáticas
