codigo_dane,pai_et_municipios,establecimientos_educativos,promedio,comparacion_pmat,desviacion,comparacion_dmat,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,Competencia
391001000721,LETICIA,COLEGIO CRISTO REY MINUTO DE DIOS,58,Menor,10,Similar,0%,21%,66%,14%,55%,23%,51%,Matemáticas
191001000012,LETICIA,I.E. ESCUELA NORMAL SUPERIOR MARCELIANO EDUARDO CANYES SANTACANA,50,Similar,10,Similar,7%,43%,48%,1%,65%,41%,62%,Matemáticas
291001000629,LETICIA,I.E INDÍGENA MARÍA AUXILIADORA,38,Similar,8,Similar,42%,52%,6%,0%,82%,59%,69%,Matemáticas
191001000501,LETICIA,COL  NAVAL AF-41 ( ANTES JARDIN),62,Menor,12,Similar,0%,33%,33%,33%,46%,21%,40%,Matemáticas
191001000489,LETICIA,INSTITUCION EDUCATIVA SAGRADO CORAZON DE JESUS,41,Similar,9,Similar,20%,67%,13%,0%,68%,56%,71%,Matemáticas
291001000581,LETICIA,I.E. INDIGENA SAN JUAN BOSCO,41,Similar,8,Similar,27%,61%,12%,0%,78%,56%,70%,Matemáticas
191001000519,LETICIA,I.E. INEM JOSE EUSTASIO RIVERA,46,Similar,9,Similar,12%,57%,31%,0%,66%,48%,69%,Matemáticas
291540000071,LETICIA,I.E. FRANCISCO DE ORELLANA,33,Mayor,6,Mayor,69%,31%,0%,0%,88%,68%,74%,Matemáticas
19100100073,LETICIA,I.E. FRANCISCO DEL ROSARIO VELA,44,Similar,8,Similar,19%,62%,19%,0%,73%,47%,73%,Matemáticas
291001000068,LETICIA,I.E FRANCISCO JOSE DE CALDAS,37,Similar,7,Mayor,48%,48%,4%,0%,83%,66%,78%,Matemáticas
391001000844,LETICIA,COL. SELVALEGRE,63,Menor,7,Mayor,0%,0%,100%,0%,26%,19%,44%,Matemáticas
391001000992,LETICIA,LICEO LOS ANGELES,58,Menor,11,Similar,0%,44%,33%,22%,44%,33%,46%,Matemáticas
291263000034,EL ENCANTO,I.E INTERNADO SAN RAFAEL DEL CARAPARANA,37,Similar,10,Similar,47%,40%,13%,0%,80%,60%,74%,Matemáticas
291405000231,LA CHORRERA,I.E. COLEGIO INDIGENA CASA DEL CONOCIMIENTO,40,Similar,8,Similar,25%,64%,11%,0%,78%,57%,78%,Matemáticas
191407000102,LA PEDRERA,I.E. INTERNADO INDIGENA SAN JOSE,36,Similar,8,Similar,54%,42%,4%,0%,84%,50%,70%,Matemáticas
191460000017,MIRITÍ - PARANÁ,I.E INTERNADO SAN ANTONIO DE PADUA,33,Mayor,10,Similar,69%,23%,8%,0%,92%,71%,82%,Matemáticas
291263000018,PUERTO ARICA,ESC VILLA FATIMA,33,Mayor,7,Mayor,60%,40%,0%,0%,76%,73%,83%,Matemáticas
191540000255,PUERTO NARIÑO,I.E. COLEGIO TECNICO AGROPECUARIO JOSE CELESTINO MUTIS,41,Similar,8,Similar,28%,59%,13%,0%,84%,55%,73%,Matemáticas
191540000051,PUERTO NARIÑO,I.E. INTERNADO SAN FRANCISCO DE LORETOYACO,36,Similar,7,Mayor,57%,41%,2%,0%,80%,52%,71%,Matemáticas
191065000016,PUERTO SANTANDER,I.E. INTERNADO FRAY JAVIER DE BARCELONA,42,Similar,7,Mayor,13%,75%,13%,0%,81%,59%,78%,Matemáticas
291798000122,TARAPACÁ,I.E. COLEGIO VILLA CARMEN,37,Similar,6,Mayor,33%,67%,0%,0%,75%,67%,79%,Matemáticas
205002000611,ABEJORRAL,I. E. R. ZOILA DUQUE BAENA,47,Similar,8,Mayor,9%,61%,30%,0%,70%,47%,65%,Matemáticas
105002000047,ABEJORRAL,INSTITUCION EDUCATIVA FUNDACION CELIA DUQUE DE DUQUE,52,Similar,11,Similar,6%,35%,53%,6%,68%,36%,59%,Matemáticas
105002000055,ABEJORRAL,I. E. MANUEL CANUTO RESTREPO,49,Similar,9,Similar,7%,47%,44%,2%,70%,48%,68%,Matemáticas
205002000777,ABEJORRAL,INSTITUCIÓN EDUCATIVA RURAL PANTANILLO,57,Menor,9,Similar,0%,22%,78%,0%,44%,31%,56%,Matemáticas
105002000161,ABEJORRAL,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR DE ABEJORRAL,56,Similar,10,Similar,0%,34%,54%,12%,62%,35%,51%,Matemáticas
105004000109,ABRIAQUÍ,INSTITUCION EDUCATIVA LA MILAGROSA,52,Similar,10,Similar,0%,44%,50%,6%,59%,35%,53%,Matemáticas
105021000139,ALEJANDRÍA,I. E. PROCESA DELGADO,47,Similar,11,Similar,10%,54%,37%,0%,64%,52%,60%,Matemáticas
10503000001,AMAGÁ,I. E. ESCUELA NORMAL SUPERIOR AMAGA,50,Similar,9,Similar,8%,44%,47%,1%,67%,49%,64%,Matemáticas
205030000243,AMAGÁ,I. E. PASCUAL CORREA FLOREZ,46,Similar,10,Similar,14%,57%,29%,0%,60%,53%,62%,Matemáticas
105030000028,AMAGÁ,I. E. SAN FERNANDO,54,Similar,12,Similar,5%,34%,59%,2%,58%,41%,56%,Matemáticas
205030000111,AMAGÁ,INSTITUCION EDUCATIVA RURAL BELISARIO BETANCUR CUARTAS,47,Similar,12,Similar,18%,47%,32%,3%,69%,45%,64%,Matemáticas
105031001583,AMALFI,I. E. PUEBLO NUEVO,50,Similar,12,Similar,7%,50%,39%,4%,69%,41%,60%,Matemáticas
105031001516,AMALFI,I. E. EDUARDO FERNANDEZ BOTERO,59,Menor,11,Similar,3%,14%,72%,12%,52%,29%,40%,Matemáticas
205031000191,AMALFI,I. E. R. PORTACHUELO,42,Similar,13,Similar,33%,33%,33%,0%,69%,42%,71%,Matemáticas
105031000056,AMALFI,INSTITUCIÓN EDUCATIVA PRESBITERO GERARDO MONTOYA,47,Similar,9,Similar,9%,56%,33%,2%,68%,47%,69%,Matemáticas
205034000256,ANDES,INSTITUCION EDUCATIVA SANTA RITA,47,Similar,10,Similar,9%,49%,40%,2%,72%,48%,65%,Matemáticas
105034000278,ANDES,I. E. MARCO FIDEL SUAREZ,51,Similar,11,Similar,6%,44%,47%,3%,69%,40%,61%,Matemáticas
