pai_et_municipios,prom_puntaje_global,comparacion_pg,desviacion,comparacion_dpg
AMAZONAS,225,,44,
OFICIALES URBANOS DE AMAZONAS,231,Similar,42,Similar
OFICIALES RURALES DE AMAZONAS,196,Mayor,29,Mayor
PRIVADOS DE AMAZONAS,290,Menor,43,Similar
GC 1 DE AMAZONAS,200,Mayor,31,Mayor
GC 2 DE AMAZONAS,223,Similar,41,Similar
GC 3 DE AMAZONAS,292,Menor,43,Similar
ANTIOQUIA,243,,48,
OFICIALES URBANOS DE ANTIOQUIA,250,Similar,46,Similar
OFICIALES RURALES DE ANTIOQUIA,223,Similar,42,Mayor
PRIVADOS DE ANTIOQUIA,286,Menor,51,Similar
GC 1 DE ANTIOQUIA,210,Mayor,37,Mayor
GC 2 DE ANTIOQUIA,238,Similar,45,Similar
GC 3 DE ANTIOQUIA,277,Menor,45,Similar
GC 4 DE ANTIOQUIA,316,Menor,48,Similar
APARTADO,243,,46,
OFICIALES URBANOS DE APARTADO,242,Similar,43,Similar
OFICIALES RURALES DE APARTADO,224,Similar,38,Mayor
PRIVADOS DE APARTADO,271,Menor,59,Menor
GC 1 DE APARTADO,205,Mayor,36,Mayor
GC 2 DE APARTADO,237,Similar,41,Mayor
GC 3 DE APARTADO,288,Menor,45,Similar
ARAUCA,251,,47,
OFICIALES URBANOS DE ARAUCA,256,Similar,46,Similar
OFICIALES RURALES DE ARAUCA,236,Similar,40,Mayor
PRIVADOS DE ARAUCA,258,Similar,56,Menor
GC 1 DE ARAUCA,226,Mayor,38,Mayor
GC 2 DE ARAUCA,250,Similar,45,Similar
GC 3 DE ARAUCA,280,Menor,49,Similar
ARMENIA,281,,52,
OFICIALES URBANOS DE ARMENIA,275,Similar,50,Similar
OFICIALES RURALES DE ARMENIA,290,Similar,43,Mayor
PRIVADOS DE ARMENIA,315,Menor,51,Similar
GC 2 DE ARMENIA,258,Similar,46,Mayor
GC 3 DE ARMENIA,294,Similar,50,Similar
GC 4 DE ARMENIA,309,Menor,41,Mayor
ATLANTICO,234,,47,
OFICIALES URBANOS DE ATLANTICO,233,Similar,44,Similar
OFICIALES RURALES DE ATLANTICO,218,Similar,40,Mayor
PRIVADOS DE ATLANTICO,285,Menor,52,Menor
GC 1 DE ATLANTICO,213,Similar,37,Mayor
GC 2 DE ATLANTICO,229,Similar,43,Mayor
GC 3 DE ATLANTICO,270,Menor,47,Similar
GC 4 DE ATLANTICO,338,Menor,36,Mayor
BARRANCABERMEJA,266,,54,
OFICIALES URBANOS DE BARRANCABERMEJA,258,Similar,47,Mayor
OFICIALES RURALES DE BARRANCABERMEJA,239,Mayor,43,Mayor
PRIVADOS DE BARRANCABERMEJA,320,Menor,50,Mayor
GC 2 DE BARRANCABERMEJA,248,Similar,46,Mayor
GC 3 DE BARRANCABERMEJA,296,Menor,50,Mayor
GC 4 DE BARRANCABERMEJA,355,Menor,30,Mayor
BARRANQUILLA,264,,52,
OFICIALES URBANOS DE BARRANQUILLA,257,Similar,49,Similar
PRIVADOS DE BARRANQUILLA,284,Similar,56,Menor
GC 1 DE BARRANQUILLA,216,Mayor,40,Mayor
GC 2 DE BARRANQUILLA,243,Similar,45,Mayor
GC 3 DE BARRANQUILLA,286,Similar,50,Similar
GC 4 DE BARRANQUILLA,342,Menor,38,Mayor
BELLO,264,,48,
OFICIALES URBANOS DE BELLO,261,Similar,45,Similar
OFICIALES RURALES DE BELLO,253,Similar,48,Similar
PRIVADOS DE BELLO,271,Similar,54,Menor
GC 2 DE BELLO,247,Similar,45,Similar
GC 3 DE BELLO,280,Similar,45,Similar
BOGOTA,274,,48,
OFICIALES URBANOS DE BOGOTA,260,Similar,43,Mayor
OFICIALES RURALES DE BOGOTA,243,Mayor,38,Mayor
PRIVADOS DE BOGOTA,295,Similar,47,Similar
GC 1 DE BOGOTA,240,Mayor,35,Mayor
GC 2 DE BOGOTA,248,Mayor,41,Mayor
GC 3 DE BOGOTA,278,Similar,45,Similar
BOLIVAR,225,,46,
OFICIALES URBANOS DE BOLIVAR,227,Similar,44,Similar
OFICIALES RURALES DE BOLIVAR,208,Similar,35,Mayor
PRIVADOS DE BOLIVAR,287,Menor,56,Menor
GC 1 DE BOLIVAR,206,Similar,34,Mayor
GC 2 DE BOLIVAR,223,Similar,43,Similar
GC 3 DE BOLIVAR,295,Menor,52,Menor
BOYACA,262,,46,
OFICIALES URBANOS DE BOYACA,263,Similar,44,Similar
OFICIALES RURALES DE BOYACA,249,Similar,42,Mayor
PRIVADOS DE BOYACA,305,Menor,46,Similar
