pai_et_municipios,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
AMAZONAS,43,,10,,48%,38%,12%,1%,51%,65%,65%,68%,62%,65%,Sociales y Ciudadanas
OFICIALES URBANOS DE AMAZONAS,44,Similar,10,Similar,42%,43%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE AMAZONAS,38,Mayor,7,Mayor,72%,26%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE AMAZONAS,56,Menor,10,Similar,12%,38%,36%,14%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE AMAZONAS,38,Mayor,7,Mayor,70%,27%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE AMAZONAS,43,Similar,10,Similar,48%,40%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE AMAZONAS,57,Menor,10,Similar,10%,38%,38%,15%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ANTIOQUIA,47,,11,,33%,44%,21%,2%,44%,59%,60%,63%,59%,58%,Sociales y Ciudadanas
OFICIALES URBANOS DE ANTIOQUIA,48,Similar,11,Similar,28%,46%,24%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ANTIOQUIA,43,Mayor,10,Similar,46%,42%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ANTIOQUIA,55,Menor,12,Similar,12%,35%,45%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE ANTIOQUIA,40,Mayor,9,Mayor,57%,36%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE ANTIOQUIA,46,Similar,11,Similar,35%,45%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ANTIOQUIA,53,Menor,11,Similar,14%,43%,39%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE ANTIOQUIA,61,Menor,12,Similar,7%,19%,54%,20%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
APARTADO,47,,11,,32%,45%,20%,3%,42%,59%,59%,60%,60%,56%,Sociales y Ciudadanas
OFICIALES URBANOS DE APARTADO,47,Similar,11,Similar,30%,49%,19%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE APARTADO,43,Mayor,9,Mayor,50%,41%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE APARTADO,54,Menor,13,Menor,21%,29%,38%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE APARTADO,40,Mayor,9,Mayor,64%,30%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE APARTADO,46,Similar,10,Similar,34%,49%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE APARTADO,57,Menor,11,Similar,9%,33%,46%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ARAUCA,47,,11,,31%,45%,22%,3%,40%,58%,59%,59%,58%,57%,Sociales y Ciudadanas
OFICIALES URBANOS DE ARAUCA,48,Similar,11,Similar,28%,45%,24%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ARAUCA,44,Similar,9,Mayor,39%,47%,13%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ARAUCA,50,Similar,13,Menor,27%,36%,30%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE ARAUCA,42,Mayor,9,Mayor,45%,48%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE ARAUCA,47,Similar,11,Similar,32%,45%,21%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ARAUCA,54,Menor,11,Similar,12%,40%,39%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ARMENIA,54,,12,,15%,37%,39%,8%,31%,47%,51%,53%,50%,47%,Sociales y Ciudadanas
OFICIALES URBANOS DE ARMENIA,53,Similar,12,Similar,18%,39%,37%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ARMENIA,57,Similar,10,Mayor,6%,45%,39%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ARMENIA,61,Menor,12,Similar,5%,26%,49%,21%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE ARMENIA,49,Mayor,11,Similar,24%,44%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ARMENIA,57,Similar,12,Similar,10%,33%,45%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE ARMENIA,60,Menor,10,Mayor,3%,26%,61%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ATLANTICO,44,,11,,44%,39%,16%,2%,48%,63%,62%,64%,62%,61%,Sociales y Ciudadanas
OFICIALES URBANOS DE ATLANTICO,44,Similar,11,Similar,45%,39%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ATLANTICO,41,Similar,10,Similar,54%,37%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ATLANTICO,55,Menor,12,Similar,13%,37%,40%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE ATLANTICO,40,Mayor,9,Mayor,60%,31%,9%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE ATLANTICO,43,Similar,10,Similar,47%,39%,13%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ATLANTICO,52,Menor,11,Similar,16%,44%,34%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE ATLANTICO,63,Menor,9,Mayor,3%,13%,63%,22%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BARRANCABERMEJA,51,,12,,24%,39%,30%,6%,37%,52%,55%,62%,53%,49%,Sociales y Ciudadanas
OFICIALES URBANOS DE BARRANCABERMEJA,49,Similar,12,Similar,26%,42%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE BARRANCABERMEJA,45,Mayor,10,Mayor,39%,44%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BARRANCABERMEJA,61,Menor,11,Similar,4%,25%,48%,23%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE BARRANCABERMEJA,47,Mayor,11,Similar,32%,43%,22%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE BARRANCABERMEJA,57,Menor,12,Similar,10%,33%,44%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE BARRANCABERMEJA,68,Menor,7,Mayor,0%,4%,58%,38%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
BARRANQUILLA,50,,12,,26%,39%,30%,5%,37%,53%,55%,58%,55%,51%,Sociales y Ciudadanas
OFICIALES URBANOS DE BARRANQUILLA,49,Similar,12,Similar,29%,41%,27%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE BARRANQUILLA,55,Menor,13,Similar,17%,34%,39%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE BARRANQUILLA,42,Mayor,11,Similar,49%,38%,13%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
